ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),BLEVE Height (m),Vapour Height (m),Vapour Temperature (K),Liquid Temperature (K),Obstacle Distance to BLEVE (m),Obstacle Width (m),Obstacle Height (m),Obstacle Thickness (m),Obstacle Angle,Status,Liquid Critical Pressure (bar),Liquid Boiling Temperature (K),Liquid Critical Temperature (K),Sensor ID,Sensor Position Side,Sensor Position x,Sensor Position y,Sensor Position z,Target Pressure (bar)
3272.0,26.79,0.8,1.21,4.6,2.41,1.6,0.38,307.4,295.46,8.0,10.0,13.0,2.6,4.0,Subcooled,42.5,-42.0,96.7,6.0,1.0,11.25,0.6,11.0,0.051251192
3273.0,26.97,0.8,1.18,4.61,2.42,1.6,0.38,306.83,294.41,8.0,10.0,13.0,2.58,4.0,Subcooled,42.5,-42.0,96.7,7.0,1.0,11.25,5.4,-1.6,0.050812684
3274.0,27.02,0.8,1.22,4.6,2.38,1.59,0.4,305.16,294.42,8.0,10.0,13.0,2.6,4.0,Subcooled,42.5,-42.0,96.7,8.0,1.0,11.25,5.4,4.7,0.044573553
3275.0,27.1,0.8,1.22,4.6,2.39,1.58,0.4,306.45,294.44,8.0,10.0,13.0,2.59,4.0,Subcooled,42.5,-42.0,96.7,9.0,1.0,11.25,5.4,11.0,0.03808796
3276.0,27.1,0.8,1.21,4.59,2.39,1.62,0.42,306.62,294.3,8.0,10.0,13.0,2.6,4.0,Subcooled,42.5,-42.0,96.7,10.0,2.0,8.55,-4.2,-1.6,0.62451023
3277.0,26.94,0.8,1.21,4.6,2.42,1.62,0.39,304.74,294.55,8.0,10.0,13.0,2.61,4.0,Subcooled,42.5,-42.0,96.7,11.0,2.0,8.55,-4.2,4.7,0.32861641
3278.0,27.09,0.8,1.2,4.6,2.41,1.6,0.4,307.03,294.72,8.0,10.0,13.0,2.61,4.0,Subcooled,42.5,-42.0,96.7,12.0,2.0,8.55,-4.2,11.0,0.25969386
3279.0,27.14,0.8,1.21,4.61,2.41,1.6,0.4,305.92,294.64,8.0,10.0,13.0,2.59,4.0,Subcooled,42.5,-42.0,96.7,13.0,2.0,8.55,0.6,-1.6,0.8849386
3280.0,27.06,0.8,1.18,4.61,2.41,1.6,0.38,306.49,294.02,8.0,10.0,13.0,2.6,4.0,Subcooled,42.5,-42.0,96.7,14.0,2.0,8.55,0.6,4.7,0.46597508
3281.0,27.08,0.8,1.2,4.6,2.41,1.62,0.42,306.88,295.08,8.0,10.0,13.0,2.59,4.0,Subcooled,42.5,-42.0,96.7,15.0,2.0,8.55,0.6,11.0,0.31519443
3282.0,27.06,0.8,1.18,4.6,2.39,1.61,0.39,307.13,293.94,8.0,10.0,13.0,2.61,4.0,Subcooled,42.5,-42.0,96.7,16.0,2.0,8.55,5.4,-1.6,0.52328753
3283.0,27.07,0.8,1.22,4.58,2.38,1.6,0.4,306.74,294.97,8.0,10.0,13.0,2.59,4.0,Subcooled,42.5,-42.0,96.7,17.0,2.0,8.55,5.4,4.7,0.27568167
3284.0,27.08,0.8,1.19,4.62,2.4,1.6,0.38,306.27,294.68,8.0,10.0,13.0,2.59,4.0,Subcooled,42.5,-42.0,96.7,18.0,2.0,8.55,5.4,11.0,0.24098854
3285.0,27.06,0.8,1.19,4.6,2.4,1.59,0.42,306.17,294.03,8.0,10.0,13.0,2.6,4.0,Subcooled,42.5,-42.0,96.7,19.0,3.0,9.9,-4.45,-1.6,0.23998657
3286.0,27.08,0.81,1.21,4.6,2.4,1.59,0.42,307.77,294.75,8.0,10.0,13.0,2.6,4.0,Subcooled,42.5,-42.0,96.7,20.0,3.0,9.9,-4.45,4.7,0.15560538
3287.0,26.93,0.8,1.21,4.58,2.4,1.6,0.41,304.9,294.3,8.0,10.0,13.0,2.62,4.0,Subcooled,42.5,-42.0,96.7,21.0,3.0,9.9,-4.45,11.0,0.1352817
3288.0,26.94,0.8,1.22,4.61,2.42,1.62,0.38,305.43,294.05,8.0,10.0,13.0,2.6,4.0,Subcooled,42.5,-42.0,96.7,22.0,4.0,9.9,-4.2,11.3,0.095744647
3289.0,26.81,0.8,1.21,4.6,2.42,1.59,0.39,306.46,294.75,8.0,10.0,13.0,2.6,4.0,Subcooled,42.5,-42.0,96.7,23.0,4.0,9.9,0.6,11.3,0.080833845
3290.0,27.05,0.8,1.19,4.59,2.41,1.62,0.39,306.68,293.91,8.0,10.0,13.0,2.58,4.0,Subcooled,42.5,-42.0,96.7,24.0,4.0,9.9,5.3,11.3,0.093887024
3291.0,27.09,0.8,1.22,4.6,2.41,1.59,0.39,306.61,294.38,8.0,10.0,13.0,2.6,4.0,Subcooled,42.5,-42.0,96.7,25.0,5.0,9.9,5.65,-1.6,0.14829306
3292.0,26.91,0.8,1.18,4.62,2.41,1.61,0.39,306.45,295.39,8.0,10.0,13.0,2.6,4.0,Subcooled,42.5,-42.0,96.7,26.0,5.0,9.9,5.65,4.7,0.091159239
3293.0,27.04,0.8,1.21,4.62,2.4,1.6,0.41,305.39,294.74,8.0,10.0,13.0,2.59,4.0,Subcooled,42.5,-42.0,96.7,27.0,5.0,9.9,5.65,11.0,0.082613766
3294.0,36.55,0.58,2.42,3.01,1.4,1.41,0.6,411.45,313.13,5.0,6.0,7.0,2.21,2.0,Subcooled,42.5,-42.0,96.7,1.0,1.0,8.45,-2.6,-1.5,0.14664449
3295.0,36.65,0.57,2.39,2.99,1.42,1.42,0.59,412.12,313.14,5.0,6.0,7.0,2.22,2.0,Subcooled,42.5,-42.0,96.7,2.0,1.0,8.45,-2.6,1.8,0.14590766
3296.0,36.58,0.58,2.39,3.01,1.4,1.4,0.58,412.1,312.67,5.0,6.0,7.0,2.19,2.0,Subcooled,42.5,-42.0,96.7,3.0,1.0,8.45,-2.6,5.1,0.13866331
3297.0,36.48,0.57,2.42,2.98,1.41,1.39,0.6,411.77,313.2,5.0,6.0,7.0,2.2,2.0,Subcooled,42.5,-42.0,96.7,4.0,1.0,8.45,0.2,-1.5,0.14076249
3298.0,36.59,0.58,2.38,2.99,1.4,1.4,0.61,413.57,313.01,5.0,6.0,7.0,2.19,2.0,Subcooled,42.5,-42.0,96.7,5.0,1.0,8.45,0.2,1.8,0.16420525
3299.0,36.53,0.57,2.39,3.0,1.38,1.38,0.59,411.29,312.78,5.0,6.0,7.0,2.19,2.0,Subcooled,42.5,-42.0,96.7,6.0,1.0,8.45,0.2,5.1,0.10356999
3300.0,36.44,0.57,2.39,2.99,1.39,1.39,0.59,411.25,312.55,5.0,6.0,7.0,2.21,2.0,Subcooled,42.5,-42.0,96.7,7.0,1.0,8.45,3.0,-1.5,0.098521188
3301.0,36.39,0.57,2.42,3.01,1.39,1.39,0.61,410.62,313.21,5.0,6.0,7.0,2.21,2.0,Subcooled,42.5,-42.0,96.7,8.0,1.0,8.45,3.0,1.8,0.09449324
3302.0,36.32,0.58,2.4,3.01,1.4,1.38,0.6,412.0,313.26,5.0,6.0,7.0,2.19,2.0,Subcooled,42.5,-42.0,96.7,9.0,1.0,8.45,3.0,5.1,0.13295819
3303.0,36.62,0.58,2.39,2.99,1.4,1.41,0.62,412.57,313.94,5.0,6.0,7.0,2.18,2.0,Subcooled,42.5,-42.0,96.7,10.0,2.0,6.15,-2.6,-1.5,1.7216617
3304.0,36.61,0.58,2.41,3.01,1.42,1.39,0.59,412.01,312.33,5.0,6.0,7.0,2.21,2.0,Subcooled,42.5,-42.0,96.7,11.0,2.0,6.15,-2.6,1.8,0.75469428
3305.0,36.52,0.57,2.41,2.99,1.39,1.4,0.61,411.91,313.35,5.0,6.0,7.0,2.2,2.0,Subcooled,42.5,-42.0,96.7,12.0,2.0,6.15,-2.6,5.1,0.84949237
3306.0,36.37,0.58,2.4,3.01,1.4,1.38,0.6,411.12,313.45,5.0,6.0,7.0,2.18,2.0,Subcooled,42.5,-42.0,96.7,13.0,2.0,6.15,0.2,-1.5,2.1539905
3307.0,36.78,0.58,2.39,2.99,1.39,1.38,0.61,412.04,312.86,5.0,6.0,7.0,2.22,2.0,Subcooled,42.5,-42.0,96.7,14.0,2.0,6.15,0.2,1.8,0.97187823
3308.0,36.63,0.57,2.41,3.02,1.39,1.41,0.61,411.58,313.4,5.0,6.0,7.0,2.19,2.0,Subcooled,42.5,-42.0,96.7,15.0,2.0,6.15,0.2,5.1,0.9463557
3309.0,36.44,0.57,2.39,3.01,1.39,1.41,0.58,411.82,313.33,5.0,6.0,7.0,2.19,2.0,Subcooled,42.5,-42.0,96.7,16.0,2.0,6.15,3.0,-1.5,1.5764886
3310.0,36.46,0.58,2.41,2.99,1.4,1.39,0.58,412.41,313.33,5.0,6.0,7.0,2.22,2.0,subcooled,42.5,-42.0,96.7,17.0,2.0,6.15,3.0,1.8,0.71738815
3311.0,36.62,0.57,2.41,3.02,1.41,1.38,0.59,412.14,313.47,5.0,6.0,7.0,2.22,2.0,Subcooled,42.5,-42.0,96.7,18.0,2.0,6.15,3.0,5.1,0.81966335
3312.0,36.5,0.58,2.4,2.98,1.39,1.39,0.62,412.72,313.41,5.0,6.0,7.0,2.19,2.0,Subcooled,42.5,-42.0,96.7,19.0,3.0,7.3,-2.85,-1.5,0.41544396
3313.0,36.52,0.57,2.39,2.99,1.38,1.4,0.61,411.86,313.45,5.0,6.0,7.0,2.21,2.0,Subcooled,42.5,-42.0,96.7,20.0,3.0,7.3,-2.85,1.8,0.37452441
3314.0,36.58,0.58,2.4,2.99,1.41,1.4,0.6,411.51,313.98,5.0,6.0,7.0,2.21,2.0,Subcooled,42.5,-42.0,96.7,21.0,3.0,7.3,-2.85,5.1,0.3004978
3315.0,36.47,0.58,2.39,2.99,1.4,1.41,0.59,410.98,313.66,5.0,6.0,7.0,2.2,2.0,Subcooled,42.5,-42.0,96.7,22.0,4.0,7.3,-2.6,5.4,0.28460288
3316.0,36.53,0.57,2.41,3.01,1.38,1.4,0.6,412.94,312.83,5.0,6.0,7.0,2.22,2.0,Subcooled,42.5,-42.0,96.7,23.0,4.0,7.3,0.2,5.4,0.23944496
3317.0,36.35,0.58,2.38,2.99,1.39,1.39,0.61,411.03,312.92,5.0,6.0,7.0,2.21,2.0,Subcooled,42.5,-42.0,96.7,24.0,4.0,7.3,3.0,5.4,0.27290362
3318.0,36.6,0.57,2.42,3.0,1.4,1.41,0.58,411.78,313.01,5.0,6.0,7.0,2.21,2.0,Subcooled,42.5,-42.0,96.7,25.0,5.0,7.3,3.25,-1.5,0.37064007
3319.0,36.63,0.57,2.42,3.02,1.41,1.4,0.58,411.59,313.03,5.0,6.0,7.0,2.2,2.0,Subcooled,42.5,-42.0,96.7,26.0,5.0,7.3,3.25,1.8,0.30161041
3320.0,36.62,0.57,2.4,2.98,1.39,1.38,0.59,412.6,313.52,5.0,6.0,7.0,2.2,2.0,Subcooled,42.5,-42.0,96.7,27.0,5.0,7.3,3.25,5.1,0.24711506
3321.0,20.05,0.59,1.8,7.39,0.79,0.98,0.4,386.04,307.0,11.0,12.0,12.0,1.8,30.0,Subcooled,42.5,-42.0,96.7,1.0,1.0,13.75,0.6,-1.0,0.1161796
3322.0,20.1,0.59,1.81,7.4,0.8,0.99,0.41,386.08,307.42,11.0,12.0,12.0,1.8,30.0,Subcooled,42.5,-42.0,96.7,2.0,1.0,13.75,0.6,4.8,0.11928593
3323.0,20.19,0.59,1.8,7.42,0.8,1.01,0.41,386.46,307.28,11.0,12.0,12.0,1.81,30.0,Subcooled,42.5,-42.0,96.7,3.0,1.0,13.75,0.6,10.6,0.096889816
3324.0,20.19,0.58,1.8,7.42,0.79,0.99,0.4,385.61,306.97,11.0,12.0,12.0,1.81,30.0,Subcooled,42.5,-42.0,96.7,4.0,1.0,13.75,6.4,-1.0,0.044767994
3325.0,20.21,0.59,1.79,7.39,0.8,1.0,0.41,385.63,307.85,11.0,12.0,12.0,1.79,30.0,Subcooled,42.5,-42.0,96.7,5.0,1.0,13.75,6.4,4.8,0.044767749
3326.0,20.18,0.59,1.8,7.4,0.8,0.99,0.39,385.05,307.85,11.0,12.0,12.0,1.79,30.0,Subcooled,42.5,-42.0,96.7,6.0,1.0,13.75,6.4,10.6,0.035917655
3327.0,20.06,0.59,1.81,7.41,0.81,1.0,0.39,386.36,306.95,11.0,12.0,12.0,1.81,30.0,Subcooled,42.5,-42.0,96.7,7.0,1.0,13.75,12.2,-1.0,0.027241131
3328.0,20.26,0.58,1.79,7.39,0.8,1.0,0.41,386.38,307.56,11.0,12.0,12.0,1.79,30.0,Subcooled,42.5,-42.0,96.7,8.0,1.0,13.75,12.2,4.8,0.028372262
